np_name,np_name_adj,domain
HERALD DEMOCRAT,herald democrat,
TEMPLE DAILY TELEGRAM,temple daily telegram,
TEXARKANA GAZETTE,texarkana gazette,
TYLER MORNING TELEGRAPH,tyler morning telegraph,
TYLER TELEGRAPH-COURIER TIMES,tyler telegraph-courier times,
THE VICTORIA ADVOCATE,the victoria advocate,
WACO TRIBUNE-HERALD,waco tribune-herald,
TIMES-RECORD NEWS,times-record news,
"LOGAN, THE HERALD JOURNAL","logan, the herald journal",
STANDARD-EXAMINER,standard-examiner,
THE SALT LAKE TRIBUNE/DESERET MORNING NE,the salt lake tribune/deseret morning ne,sltrib.com
THE SALT LAKE TRIBUNE/DESERET NEWS,the salt lake tribune/deseret news,sltrib.com
DESERET MORNING NEWS,deseret morning news,
DESERET MORNING NEWS - MONEY BAGS,deseret morning news - money bags,
DESERET NEWS,deseret news,
THE SALT LAKE TRIBUNE,the salt lake tribune,sltrib.com
THE SALT LAKE TRIBUNE - MONEY BAGS,the salt lake tribune - money bags,sltrib.com
THE TIMES ARGUS,the times argus,
BENNINGTON BANNER,bennington banner,
BRATTLEBORO REFORMER,brattleboro reformer,
BURLINGTON FREE PRESS,burlington free press,burlingtonfreepress.com
THE DAILY HERALD,the daily herald,
"RUTLAND HERALD, THE SUNDAY RUTLAND HRLD","rutland herald, the sunday rutland hrld",
"ST. JOHNSBURY, THE CALEDONIAN-RECORD","st. johnsbury, the caledonian-record",
THE SPECTRUM,the spectrum,
BRISTOL HERALD COURIER,bristol herald courier,
CHARLOTTESVILLE PROGRESS,charlottesville progress,
THE DAILY PROGRESS,the daily progress,
COVINGTON VIRGINIAN REVIEW,covington virginian review,
CULPEPER STAR-EXPONENT,culpeper star-exponent,
DANVILLE REGISTER & BEE,danville register & bee,
NEWS AND MESSENGER,news and messenger,
POTOMAC NEWS/MANASSAS JOURNAL MESSENGER,potomac news/manassas journal messenger,
POTOMAC NEWS,potomac news,
FREDERICKSBURG FREE LANCE-STAR,fredericksburg free lance-star,
DAILY NEWS RECORD,daily news record,
"LYNCHBURG, THE NEWS & ADVANCE","lynchburg, the news & advance",
MANASSAS JOURNAL MESSENGER,manassas journal messenger,
MARTINSVILLE BULLETIN,martinsville bulletin,
DAILY PRESS,daily press,
NEWPORT NEWS DAILY PRESS,newport news daily press,
THE VIRGINIAN-PILOT,the virginian-pilot,pilotonline.com
PETERSBURG PROGRESS - INDEX,petersburg progress - index,
RICHMOND TIMES-DISPATCH,richmond times-dispatch,richmond.com
THE ROANOKE TIMES,the roanoke times,
THE NEWS LEADER,the news leader,
NORTHERN VIRGINIA DAILY,northern virginia daily,
THE NEWS VIRGINIAN,the news virginian,
THE NEWS-VIRGINIAN,the news-virginian,
THE WINCHESTER STAR,the winchester star,
EASTSIDE JOURNAL,eastside journal,
KING COUNTY JOURNAL,king county journal,
THE BELLINGHAM HERALD,the bellingham herald,
THE KITSAP SUN,the kitsap sun,
THE KITSAP SUN - BAINBRIDGE ISLANDER,the kitsap sun - bainbridge islander,
THE KITSAP SUN - NORTH MASON LIFE,the kitsap sun - north mason life,
THE KITSAP SUN - GIG HARBOR LIFE,the kitsap sun - gig harbor life,
THE KITSAP SUN - SHELTON LIFE,the kitsap sun - shelton life,
CENTRALIA CHRONICLE,centralia chronicle,
"THE DAILY HERALD, THE SUNDAY HERALD","the daily herald, the sunday herald",
THE EVERETT HERALD,the everett herald,
LONGVIEW DAILY NEWS,longview daily news,
MT. VERNON SKAGIT VALLEY HRLD,mt. vernon skagit valley hrld,
THE OLYMPIAN,the olympian,
TRI-CITY HERALD,tri-city herald,
SOUTH COUNTY JOURNAL,south county journal,
PENINSULA DAILY NEWS,peninsula daily news,
SEATTLE POST-INTELLIGENCER,seattle post-intelligencer,
THE SEATTLE TIMES,the seattle times,
THE SEATTLE TIMES/POST-INTELLIGENCER,the seattle times/post-intelligencer,seattletimes.com
"SPOKANE, SPOKESMAN-REVIEW","spokane, spokesman-review",
"TACOMA,THE NEWS TRIBUNE","tacoma,the news tribune",thenewstribune.com
"TACOMA,THE NEWS TRIBUNE - YES! - YOUR ESSENTIAL SHOPPER","tacoma,the news tribune - yes! - your essential shopper",thenewstribune.com
THE COLUMBIAN,the columbian,
THE COLUMBIAN - NORTH COUNTY NEWS,the columbian - north county news,
THE COLUMBIAN - YOUR WEEK,the columbian - your week,
WALLA WALLA UNION-BULLETIN,walla walla union-bulletin,
THE WENATCHEE WORLD,the wenatchee world,
YAKIMA HERALD-REPUBLIC,yakima herald-republic,
BECKLEY REGISTER/HERALD,beckley register/herald,
THE REGISTER-HERALD,the register-herald,
BLUEFIELD DAILY TELEGRAPH,bluefield daily telegraph,
CHARLESTON GAZETTE/ DAILY MAIL,charleston gazette/ daily mail,wvgazettemail.com
THE CHARLESTON GAZETTE/DAILY MAIL,the charleston gazette/daily mail,wvgazettemail.com
CHARLESTON GAZETTE,charleston gazette,wvgazettemail.com
CHARLESTON DAILY MAIL,charleston daily mail,
CLARKSBURG EXPONENT-TELEGRAM,clarksburg exponent-telegram,
THE EXPONENT-TELEGRAM,the exponent-telegram,
CLARKSBURG EXPONENT,clarksburg exponent,
ELKINS INTER MOUNTAIN,elkins inter mountain,
THE INTER - MOUNTAIN,the inter - mountain,
TIMES WEST VIRGINIAN,times west virginian,
HUNTINGTON HERALD DISPATCH,huntington herald dispatch,
THE JOURNAL,the journal,
THE DOMINION POST,the dominion post,
PARKERSBURG NEWS AND SENTINEL,parkersburg news and sentinel,
PARKERSBURG NEWS/SENTINEL,parkersburg news/sentinel,
PARKERSBURG SENTINEL,parkersburg sentinel,
PARKERSBURG NEWS,parkersburg news,
THE WEIRTON DAILY TIMES,the weirton daily times,
POINT PLEASANT REGISTER,point pleasant register,
THE INTELLIGENCER/WHEELING NEWS-REGISTER,the intelligencer/wheeling news-register,
WHEELING NEWS REGISTER,wheeling news register,
THE WHEELING INTELLIGENCER,the wheeling intelligencer,
THE POST-CRESCENT,the post-crescent,
THE DAILY PRESS,the daily press,
BARABOO NEWS REPUBLIC,baraboo news republic,
CHIPPEWA HERALD,chippewa herald,
THE CHIPPEWA HERALD,the chippewa herald,
DAILY CITIZEN,daily citizen,
EAU CLAIRE LEADER-TELEGRAM,eau claire leader-telegram,
THE REPORTER,the reporter,
GREEN BAY PRESS GAZETTE,green bay press gazette,
THE JANESVILLE GAZETTE,the janesville gazette,
KENOSHA NEWS (MORNING & SUNDAY),kenosha news (morning & sunday),
THE LA CROSSE TRIBUNE,the la crosse tribune,
WISCONSIN STATE JOURNAL,wisconsin state journal,
WISCONSIN STATE JOURNAL/CAPITAL TIMES,wisconsin state journal/capital times,
THE CAPITAL TIMES,the capital times,
MANITOWOC HRLD TIMES REPORTER,manitowoc hrld times reporter,
MARSHFIELD NEWS-HERALD,marshfield news-herald,
MILWAUKEE JOURNAL SENTINEL,milwaukee journal sentinel,jsonline.com
MILWAUKEE JOURNAL SENTINEL - PACKER PLUS,milwaukee journal sentinel - packer plus,
PORTAGE DAILY REGISTER,portage daily register,
OSHKOSH NORTHWESTERN,oshkosh northwestern,
THE OSHKOSH NORTHWESTERN,the oshkosh northwestern,
RACINE JOURNAL TIMES,racine journal times,
THE JOURNAL TIMES,the journal times,
SHAWANO LEADER,shawano leader,
SHEBOYGAN PRESS,sheboygan press,
THE SHEBOYGAN PRESS,the sheboygan press,
STEVENS POINT JOURNAL,stevens point journal,
THE FREEMAN,the freeman,
WAUKESHA FREEMAN,waukesha freeman,
WAUSAU DAILY HERALD,wausau daily herald,
DAILY NEWS,daily news,
DAILY TRIBUNE,daily tribune,
CASPER STAR - TRIBUNE,casper star - tribune,trib.com
WYOMING TRIBUNE-EAGLE,wyoming tribune-eagle,
THE LARAMIE DAILY BOOMERANG/THE LARAMIE,the laramie daily boomerang/the laramie,
DAILY ROCKET-MINER,daily rocket-miner,
SHERIDAN PRESS,sheridan press,
NORTHERN WYOMING DAILY NEWS,northern wyoming daily news,
THE WINNIPEG SUN,the winnipeg sun,
GREATER PHILADELPHIA NWSPS,greater philadelphia nwsps,
FOX VALLEY NEWSPAPERS,fox valley newspapers,
SUBURBAN CHICAGO NEWSPAPERS,suburban chicago newspapers,
SUN-TIMES MEDIA DAILY AND WEEKLY NWSPRS,sun-times media daily and weekly nwsprs,
CHICAGO SUN-TIMES GROUP,chicago sun-times group,
SUN-TIMES MEDIA DAILY NEWSPAPERS,sun-times media daily newspapers,
MSP (SOUTHWORKS),msp (southworks),
EASTERN NORTH CAROLINA COMMUNICATIONS,eastern north carolina communications,
LEE ENTERPRISES,lee enterprises,
JOURNAL NEWS/MIDDLETOWN JRL,journal news/middletown jrl,
COX OHIO PUBLISHING - DAILY NEWSPAPERS,cox ohio publishing - daily newspapers,
DAYTON DAILY NEWS/SPRINGFIELD NEWS SUN,dayton daily news/springfield news sun,
"HERALD STAR, OH /WEIRTON DAILY TIMES, WV","herald star, oh /weirton daily times, wv",
SAUK VALLEY NEWSPAPERS,sauk valley newspapers,
GUNTERSVILLE ADVERTISER GLEAM,guntersville advertiser gleam,
HOMER NEWS,homer news,
THE FRONTIERSMAN,the frontiersman,
CHOWCHILLA NEWS,chowchilla news,
LOS BANOS ENTERPRISE,los banos enterprise,
MORGAN HILL TIMES,morgan hill times,
SIERRA STAR,sierra star,
PACIFICA TRIBUNE,pacifica tribune,
LAGUNA WOODS GLOBE,laguna woods globe,
PARADISE POST,paradise post,
BETHEL BEACON,bethel beacon,
THE BETHEL BEACON,the bethel beacon,
BRANFORD REVIEW,branford review,
BLOOMFIELD JOURNAL,bloomfield journal,
BROOKFIELD JOURNAL,brookfield journal,
THE BROOKFIELD JOURNAL,the brookfield journal,
CLINTON RECORDER,clinton recorder,
REGIONAL STANDARD,regional standard,
MAIN STREET NEWS,main street news,
PICTORIAL GAZETTE,pictorial gazette,
SHORELINE TIMES,shoreline times,
KENT GOOD TIMES,kent good times,
KENT GOOD TIMES DISPATCH,kent good times dispatch,
THE KENT GOOD TIMES DISPATCH,the kent good times dispatch,
LITCHFIELD COUNTY TIMES,litchfield county times,
THE LITCHFIELD COUNTY TIMES,the litchfield county times,
LITCHFIELD ENQUIRER,litchfield enquirer,
THE LITCHFIELD ENQUIRER,the litchfield enquirer,
NEWINGTON TOWN CRIER,newington town crier,
ROCKY HILL POST,rocky hill post,
HOUSATONIC TIMES,housatonic times,
NEW MILFORD TIMES,new milford times,
THE NEW MILFORD TIMES,the new milford times,
WETHERSFIELD POST,wethersfield post,
THOMASTON EXPRESS,thomaston express,
WEST HARTFORD NEWS,west hartford news,
WINDSOR JOURNAL,windsor journal,
WINDSOR LOCKS JOURNAL,windsor locks journal,
DARIEN NEWS,darien news,
DARIEN NEWS-REVIEW,darien news-review,
FAIRFIELD CITIZEN-NEWS,fairfield citizen-news,
NEW CANAAN ADVERTISER,new canaan advertiser,
WESTPORT NEWS,westport news,
WASHINGTON AFRO AMERICAN & THE WA.TRIB,washington afro american & the wa.trib,
MARCO ISLAND EAGLE,marco island eagle,
THE MIAMI TIMES,the miami times,
THE VENICE GONDOLIER SUN,the venice gondolier sun,
DAWSON NEWS & ADVERTISER,dawson news & advertiser,
BARROW JOURNAL,barrow journal,
"ANNA, THE GAZETTE-DEMOCRAT","anna, the gazette-democrat",
ANTIOCH REVIEW,antioch review,
BUFFALO GROVE COUNTRYSIDE,buffalo grove countryside,
HOFFMAN ESTATES REVIEW,hoffman estates review,
ROLLING MEADOWS REVIEW,rolling meadows review,
SCHAUMBURG REVIEW,schaumburg review,
BARRINGTON COURIER-REVIEW,barrington courier-review,
NAPERVILLE SUN,naperville sun,
ALGONQUIN COUNTRYSIDE,algonquin countryside,
ARLINGTON HEIGHTS POST,arlington heights post,
WHEELING COUNTRYSIDE,wheeling countryside,
CARY-GROVE COUNTRYSIDE,cary-grove countryside,
DEERFIELD REVIEW,deerfield review,
DES PLAINES TIMES,des plaines times,
EDGEBROOK TIMES REVIEW,edgebrook times review,
EDISON-NORWOOD TIMES REVIEW,edison-norwood times review,
ELK GROVE TIMES,elk grove times,
EVANSTON REVIEW,evanston review,
SKOKIE REVIEW,skokie review,
PARK RIDGE HERALD-ADVOCATE,park ridge herald-advocate,
WESTCHESTER HERALD,westchester herald,
"ELM LEAVES, ELMWOOD PARK","elm leaves, elmwood park",
"FOREST LEAVES, RIVER FOREST","forest leaves, river forest",
FRANKLIN PARK HERALD-JOURNAL,franklin park herald-journal,
GRAYSLAKE REVIEW,grayslake review,
GURNEE REVIEW,gurnee review,
HIGHLAND PARK NEWS,highland park news,
LAKE FORESTER,lake forester,
LAKE ZURICH COURIER,lake zurich courier,
"LAKE VILLA, REVIEW","lake villa, review",
LIBERTYVILLE REVIEW,libertyville review,
LINCOLNSHIRE REVIEW,lincolnshire review,
LINCOLNWOOD REVIEW,lincolnwood review,
MAYWOOD HERALD,maywood herald,
MELROSE PARK HERALD,melrose park herald,
MORTON GROVE CHAMPION,morton grove champion,
MOUNT PROSPECT TIMES,mount prospect times,
MUNDELEIN REVIEW,mundelein review,
NILES HERALD-SPECTATOR,niles herald-spectator,
NORRIDGE-HARWOOD HEIGHTS NEWS,norridge-harwood heights news,
"OAK LEAVES, OAK PARK","oak leaves, oak park",
WEST PROVISO HERALD,west proviso herald,
PALATINE COUNTRYSIDE,palatine countryside,
VERNON HILLS REVIEW,vernon hills review,
GLENCOE NEWS,glencoe news,
GLENVIEW ANNOUNCEMENTS,glenview announcements,
NORTHBROOK STAR,northbrook star,
NORTHLAKE HERALD-JOURNAL,northlake herald-journal,
RIVER GROVE MESSENGER,river grove messenger,
WINNETKA TALK,winnetka talk,
WILMETTE LIFE,wilmette life,
THE TIMES PRESS,the times press,
THE HARRODSBURG HERALD,the harrodsburg herald,
THE MOUNTAIN EAGLE,the mountain eagle,
ABINGTON/ROCKLAND MARINER,abington/rockland mariner,
ALLSTON/BRIGHTON TAB,allston/brighton tab,
AMESBURY NEWS,amesbury news,
WESTBOROUGH NEWS,westborough news,
ARLINGTON ADVOCATE,arlington advocate,
BEDFORD MINTUEMAN,bedford mintueman,
BELMONT CITIZEN HERALD,belmont citizen herald,
BEVERLY CITIZEN,beverly citizen,
BILLERICA MINUTEMAN,billerica minuteman,
THE BOLTON COMMON,the bolton common,
UPPER CAPE CODDER,upper cape codder,
BRAINTREE FORUM,braintree forum,
BURLINGTON UNION,burlington union,
CAMBRIDGE CHRONICLE,cambridge chronicle,
CANTON JOURNAL,canton journal,
CHELMSFORD INDEPENDENT,chelmsford independent,
COHASSET MARINER,cohasset mariner,
CONCORD JOURNAL,concord journal,
DANVERS HERALD,danvers herald,
DOVER/SHERBORN PRESS,dover/sherborn press,
GEORGETOWN RECORD,georgetown record,
HAMILTON-WENHAM CHRONICLE,hamilton-wenham chronicle,
HANOVER MARINER,hanover mariner,
THE HARVARD POST,the harvard post,
HARWICH ORACLE,harwich oracle,
HINGHAM JOURNAL,hingham journal,
HOLBROOK SUN,holbrook sun,
IPSWICH CHRONICLE,ipswich chronicle,
LEXINGTON MINUTEMAN,lexington minuteman,
LINCOLN JOURNAL,lincoln journal,
LITTLETON INDEPENDENT,littleton independent,
MALDEN OBSERVER,malden observer,
MANSFIELD NEWS,mansfield news,
MARBLEHEAD REPORTER,marblehead reporter,
SHREWSBURG CHRONICAL,shrewsburg chronical,
MARSHFIELD MARINER,marshfield mariner,
THE BEACON-VILLAGER,the beacon-villager,
MEDFIELD PRESS,medfield press,
MEDFORD TRANSCRIPT,medford transcript,
MELROSE FREE PRESS,melrose free press,
NORTH ANDOVER CITIZEN,north andover citizen,
MARYLAND GAZETTE,maryland gazette,
NORTON MIRROR,norton mirror,
NORWELL MARINER,norwell mariner,
PARKWAY TRANSCRIPT,parkway transcript,
PEMBROKE MARINER,pembroke mariner,
SAUGUS ADVERTISER,saugus advertiser,
SCITUATE MARINER,scituate mariner,
SHARON ADVOCATE,sharon advocate,
EASTON JOURNAL,easton journal,
BALTIMORE AFRO-AMERICAN,baltimore afro-american,
THE BALTIMORE AFRO AMERICAN,the baltimore afro american,
SOMERVILLE JOURNAL,somerville journal,
STOUGHTON JOURNAL,stoughton journal,
SWAMPSCOTT REPORTER,swampscott reporter,
TEWSKBURY ADVERTISER,tewskbury advertiser,
THE BEACON,the beacon,
THE CAPE CODDER,the cape codder,
THE REGISTER,the register,
TRI-TOWN TRANSCRIPT,tri-town transcript,
WAKEFIELD OBSERVER,wakefield observer,
WATERTOWN TAB,watertown tab,
WELLESLEY TOWNSMAN,wellesley townsman,
WESTON TOWN CRIER & TAB,weston town crier & tab,
WEST ROXBURY TRANSCRIPT,west roxbury transcript,
WESTFORD EAGLE,westford eagle,
WESTWOOD PRESS,westwood press,
WEYMOUTH NEWS,weymouth news,
WINCHESTER STAR,winchester star,
T/A THE AEGIS NEWSPAPER,t/a the aegis newspaper,
HAVRE DE GRACE RECORD,havre de grace record,
THE FALMOUTH ENTERPRISE,the falmouth enterprise,
ANN ARBOR.COM,ann arbor.com,
THE ANN ARBOR NEWS,the ann arbor news,
LAPEER COUNTY PRESS,lapeer county press,
THE COUNTY PRESS,the county press,
THE ROMEO OBSERVER,the romeo observer,
GRAND RAPIDS HERALD-REVIEW,grand rapids herald-review,
WASHINGTON MISSOURIAN,washington missourian,
THE HAMPTON UNION,the hampton union,
THE EXETER NEWS-LETTER,the exeter news-letter,
ALLENTOWN MESSENGER-PRESS,allentown messenger-press,
THE HILLSBOROUGH BEACON,the hillsborough beacon,
THE CRANBURY PRESS,the cranbury press,
RECORD-BREEZE,record-breeze,
COMMUNITY NEWS,community news,
PLAIN DEALER,plain dealer,
MAPLE SHADE PROGRESS,maple shade progress,
THE CENTRAL RECORD,the central record,
NEWS WEEKLY,news weekly,
NEW EGYPT PRESS,new egypt press,
PENNINGTON POST,pennington post,
NEWS REPORT,news report,
THE HADDON HERALD,the haddon herald,
HUNTERDON COUNTY DEMOCRAT,hunterdon county democrat,
DELAWARE VALLEY NEWS,delaware valley news,
THE HOPEWELL VALLEY NEWS,the hopewell valley news,
WINDSOR HEIGHTS HERALD,windsor heights herald,
"KENDALL PARK, THE SOUTH BRUNSWICK POST","kendall park, the south brunswick post",
"THE BEACON, LAMBERTVILLE","the beacon, lambertville",
THE LAWRENCE LEDGER,the lawrence ledger,
WEST ESSEX TRIBUNE,west essex tribune,
THE MANVILLE NEWS,the manville news,
RIDGEWOOD NEWS,ridgewood news,
THE RIDGEWOOD NEWS,the ridgewood news,
THE PRINCETON PACKET,the princeton packet,
THE REGISTER NEWS,the register news,
SUBURBAN TRENDS,suburban trends,
RUIDOSO NEWS,ruidoso news,
THE TAOS NEWS,the taos news,
HARLEM VALLEY TIMES,harlem valley times,
PUTNAM COUNTY COURIER,putnam county courier,
HYDE PARK TOWNSMAN,hyde park townsman,
MILLBROOK ROUND TABLE,millbrook round table,
PAWLING NEWS CHRONICLE,pawling news chronicle,
REGISTER HERALD,register herald,
THE REGISTER HERALD,the register herald,
VOICE LEDGER,voice ledger,
GAZETTE ADVERTISER,gazette advertiser,
THE EAST HAMPTON STAR,the east hampton star,
NEW YORK AMSTERDAM NEWS,new york amsterdam news,
THE JEWISH WEEK,the jewish week,
THE STANLY NEWS AND PRESS,the stanly news and press,
THE ALAMANCE NEWS,the alamance news,
CARTERET COUNTY NEWS TIMES,carteret county news times,
THE SMITHFIELD HERALD,the smithfield herald,
THE ENTERPRISE-MOUNTAINEER,the enterprise-mountaineer,
THE MOUNTAINEER,the mountaineer,
THE TWINSBURG SUN,the twinsburg sun,
NORDONIA HILLS SUN,nordonia hills sun,
BEDFORD SUN BANNER,bedford sun banner,
BROOKLYN SUN JOURNAL,brooklyn sun journal,
BRUNSWICK SUN TIMES,brunswick sun times,
CHAGRIN HERALD SUN,chagrin herald sun,
EUCLID SUN JOURNAL,euclid sun journal,
GARFIELD/MAPLE HTS. SUN,garfield/maple hts. sun,
LAKEWOOD SUN POST,lakewood sun post,
"THE NEWS SUN, BEREA","the news sun, berea",
PARMA SUN POST,parma sun post,
THE OXFORD PRESS,the oxford press,
SOLON HERALD SUN,solon herald sun,
STRONGSVILLE SUN STAR,strongsville sun star,
SUN BANNER PRIDE,sun banner pride,
VALLEY VIEW SUN COURIER,valley view sun courier,
VALLEY VIEW SUN HERALD,valley view sun herald,
VALLEY VIEW SUN MESSENGER,valley view sun messenger,
VALLEY VIEW SUN PRESS,valley view sun press,
VALLEY VIEW SUN SCOOP JOURNAL,valley view sun scoop journal,
WEST SIDE SUN NEWS,west side sun news,
CURRY COUNTY REPORTER,curry county reporter,
ARDMORE MAIN LINE TIMES,ardmore main line times,
MAIN LINE TIMES,main line times,
JEFFERSONIAN DEMOCRAT,jeffersonian democrat,
CHADDS FORD POST,chadds ford post,
DONEGAL LEDGER,donegal ledger,
TIMES CHRONICLE,times chronicle,
AMBLER GAZETTE,ambler gazette,
AVON GROVE SUN,avon grove sun,
BRISTOL PILOT,bristol pilot,
COATESVILLE LEDGER,coatesville ledger,
COLUMBIA LEDGER,columbia ledger,
DOWNINGTOWN LEDGER,downingtown ledger,
ELIZABETHTOWN CHRONICLE,elizabethtown chronicle,
GLENSIDE NEWS,glenside news,
HERSHEY CHRONICLE,hershey chronicle,
PUBLIC SPIRIT,public spirit,
THE GLOBE,the globe,
KENNETT PAPER,kennett paper,
NORTH PENN LIFE,north penn life,
SPRINGFIELD SUN,springfield sun,
THE ADVANCE OF BUCKS COUNTY,the advance of bucks county,
MONTGOMERY LIFE,montgomery life,
THE NEW HOPE GAZETTE,the new hope gazette,
OXFORD TRIBUNE,oxford tribune,
PARKESBURG POST-LEDGER,parkesburg post-ledger,
NEWS-HERALD,news-herald,
PERKASIE NEWS-HERALD,perkasie news-herald,
THE COLONIAL,the colonial,
SPRING-FORD REPORTER,spring-ford reporter,
VALLEY ITEM,valley item,
SOLANCO SUN-LEDGER,solanco sun-ledger,
SOUDERTON INDEPENDENT,souderton independent,
WILLOW GROVE GUIDE,willow grove guide,
YARDLEY NEWS,yardley news,
THE DOYLESTOWN PATRIOT,the doylestown patriot,
RECORDER,recorder,
NEWS OF DELAWARE COUNTY,news of delaware county,
MAIN LINE LIFE,main line life,
PHILADELPHIA TRIBUNE,philadelphia tribune,
"THE PHILADELPHIA TRIBUNE, SUNDAY TRIBUNE","the philadelphia tribune, sunday tribune",
"THE PHILADELPHIA TRIBUNE, THE SUNDAY TRI","the philadelphia tribune, the sunday tri",
THE SUBURBAN & WAYNE TIMES,the suburban & wayne times,
THE SUBURBAN AND WAYNE TIMES,the suburban and wayne times,
COVENTRY COURIER,coventry courier,
CHARIHO TIMES,chariho times,
EAST GREENWICH PENDULUM,east greenwich pendulum,
STANDARD TIMES,standard times,
NARRAGANSETT TIMES,narragansett times,
HERALD-PROGRESS,herald-progress,
AMHERST NEW ERA-PROGRESS,amherst new era-progress,
NELSON COUNTY TIMES,nelson county times,
CLARKE TIMES-COURIER,clarke times-courier,
"ELKTON, THE VALLEY BANNER","elkton, the valley banner",
WARREN SENTINEL,warren sentinel,
GLOUCESTER-MATHEWS GZT-JRL.,gloucester-mathews gzt-jrl.,
LOUDOUN TIMES-MIRROR,loudoun times-mirror,
TIMES COMMUNITY NEWSPAPERS,times community newspapers,
LEXINGTON NEWS - GAZETTE,lexington news - gazette,
PAGE NEWS AND COURIER,page news and courier,
THE COALFIELD PROGRESS,the coalfield progress,
FAUQUIER DEMOCRAT,fauquier democrat,
RAPPAHANNOCK NEWS,rappahannock news,
SHENANDOAH VALLEY-HERALD,shenandoah valley-herald,
THE BAY VIEWER,the bay viewer,
BROOKFIELD NEWS,brookfield news,
NEWS GRAPHIC,news graphic,
OZAUKEE COUNTY NEWS GRAPHIC,ozaukee county news graphic,
ELM GROVE ELM LEAVES,elm grove elm leaves,
JUNEAU COUNTY STAR TIMES,juneau county star times,
JUNEAU COUNTY STAR-TIMES,juneau county star-times,
MENOMONEE FALLS NEWS,menomonee falls news,
MEQUON-THIENSVILLE COURANT,mequon-thiensville courant,
NEW BERLIN CITIZEN,new berlin citizen,
OAK CREEK PICTORIAL,oak creek pictorial,
CUDAHY REMINDER ENTERPRISE,cudahy reminder enterprise,
SOUTH MILWAUKEE VOICE GRAPHIC,south milwaukee voice graphic,
FRANKLIN HUB,franklin hub,
GERMAN TOWN BANNER PRESS,german town banner press,
GREENDALE VILLAGE LIFE,greendale village life,
SHOREWOOD HERALD,shorewood herald,
MUSKEGO SUN,muskego sun,
REEDSBURG TIMES PRESS,reedsburg times press,
THE SAUK PRAIRIE EAGLE,the sauk prairie eagle,
WAUWATOSA NEWS TIMES,wauwatosa news times,
GREENFIELD OBSERVER,greenfield observer,
WEST ALLIS STAR,west allis star,
WISCONSIN DELLS EVENTS,wisconsin dells events,
HOUSATONIC GROUP,housatonic group,
THE DOINGS,the doings,
ROCKINGHAM COUNTY NEWSPAPER GROUP,rockingham county newspaper group,
NORTH JERSEY MEDIA GROUP,north jersey media group,
PIONEER PRESS GROUP/LAKE SHORE,pioneer press group/lake shore,
PIONEER PRESS / NORTH SHORE,pioneer press / north shore,
PIONEER PRESS GROUP/CENTRAL,pioneer press group/central,
PIONEER PRESS GROUP/WEST,pioneer press group/west,
PIONEER PRESS GROUP/NORTHWEST,pioneer press group/northwest,
GATEHOUSE MEDIA/COMMUNITY NEWSPAPER CO.,gatehouse media/community newspaper co.,
NASHOBA PUBLISHING,nashoba publishing,
SUN NEWSPAPER GROUP,sun newspaper group,
SUN NEWSPAPER GROUP OHIO,sun newspaper group ohio,
