np_name,np_name_adj,domain
THE ORANGE COUNTY REGISTER - LAGUNA NEWS-POST,the orange county register - laguna news-post,
THE ORANGE COUNTY REGISTER - ALISO VIEJO NEWS,the orange county register - aliso viejo news,
THE ORANGE COUNTY REGISTER - SAN CLEMENTE SUN POST NEWS,the orange county register - san clemente sun post news,
THE ORANGE COUNTY REGISTER - CAPISTRANO VALLEY NEWS,the orange county register - capistrano valley news,
THE ORANGE COUNTY REGISTER - LAGUNA NIGUEL NEWS,the orange county register - laguna niguel news,
THE ORANGE COUNTY REGISTER - CANYON LIFE,the orange county register - canyon life,
THE ORANGE COUNTY REGISTER - RANCHO SANTA MARGARITA NEWS,the orange county register - rancho santa margarita news,
THE ORANGE COUNTY REGISTER - SADDLEBACK VALLEY NEWS (MISSION VIEJO),the orange county register - saddleback valley news (mission viejo),
THE ORANGE COUNTY REGISTER - LADERA POST,the orange county register - ladera post,
THE ORANGE COUNTY REGISTER - EXCELSIOR,the orange county register - excelsior,
THE ORANGE COUNTY REGISTER - TUSTIN NEWS,the orange county register - tustin news,
THE ORANGE COUNTY REGISTER - FOUNTAIN VALLEY VIEW,the orange county register - fountain valley view,
THE ORANGE COUNTY REGISTER - ANAHEIM BULLETIN,the orange county register - anaheim bulletin,
THE ORANGE COUNTY REGISTER - ANAHEIM HILLS NEWS,the orange county register - anaheim hills news,
THE ORANGE COUNTY REGISTER - BREA LA HABRA STAR-PROGRESS,the orange county register - brea la habra star-progress,
THE ORANGE COUNTY REGISTER - FULLERTON NEWS-TRIBUNE,the orange county register - fullerton news-tribune,
THE ORANGE COUNTY REGISTER - ORANGE CITY NEWS,the orange county register - orange city news,
THE ORANGE COUNTY REGISTER - PLACENTIA NEWS-TIMES,the orange county register - placentia news-times,
THE ORANGE COUNTY REGISTER - YORBA LINDA STAR,the orange county register - yorba linda star,
SANTA BARBARA NEWS PRESS,santa barbara news press,
SANTA CRUZ SENTINEL,santa cruz sentinel,
SANTA MARIA TIMES,santa maria times,
PRESS DEMOCRAT,press democrat,
SANTA ROSA PRESS DEMOCRAT,santa rosa press democrat,
"THE UNION DEMOCRAT, SONORA","the union democrat, sonora",
"STOCKTON, THE RECORD","stockton, the record",
THE RECORD,the record,northjersey.com
TRACY PRESS,tracy press,
TULARE ADVANCE-REGISTER,tulare advance-register,
REPORTER,reporter,
VACAVILLE REPORTER,vacaville reporter,
VALLEJO TIMES HERALD,vallejo times herald,
LOS ANGELES DAILY NEWS,los angeles daily news,dailynews.com
LOS ANGELES DAILY NEWS - IMPACTO USA,los angeles daily news - impacto usa,
LOS ANGELES DAILY NEWS - GAZETTE,los angeles daily news - gazette,
THE UKIAH DAILY JOURNAL,the ukiah daily journal,
VENTURA COUNTY STAR,ventura county star,
VICTORVILLE DAILY PRESS,victorville daily press,
VISALIA TIMES-DELTA,visalia times-delta,
CONTRA COSTA TIMES,contra costa times,eastbaytimes.com
"REGISTER-PAJARONIAN, WATSONVILLE","register-pajaronian, watsonville",
SAN GABRIEL VALLEY TRIBUNE,san gabriel valley tribune,
WHITTIER DAILY NEWS (MORNING & SUNDAY),whittier daily news (morning & sunday),
THE WOODLAND DAILY DEMOCRAT,the woodland daily democrat,
"BOULDER, THE DAILY CAMERA","boulder, the daily camera",
CANON CITY DAILY RECORD,canon city daily record,
THE GAZETTE,the gazette,
